Country ,Region,Income Group,Unemployment Rate
Afghanistan,South Asia,Low income,8.600000381
Angola,Sub-Saharan Africa,Lower middle income,6.099999905
Albania,Europe & Central Asia,Upper middle income,15.19999981
Arab World,,,11.24065997
United Arab Emirates,Middle East & North Africa,High income,3.799999952
Argentina,Latin America & Caribbean,Upper middle income,8.800000191
Armenia,Europe & Central Asia,Lower middle income,17.60000038
Australia,East Asia & Pacific,High income,5.699999809
Austria,Europe & Central Asia,High income,6
Azerbaijan,Europe & Central Asia,Upper middle income,5
Burundi,Sub-Saharan Africa,Low income,1.5
Belgium,Europe & Central Asia,High income,7.800000191
Benin,Sub-Saharan Africa,Low income,1.100000024
Burkina Faso,Sub-Saharan Africa,Low income,3.099999905
Bangladesh,South Asia,Lower middle income,4.099999905
Bulgaria,Europe & Central Asia,Upper middle income,7.599999905
Bahrain,Middle East & North Africa,High income,1.200000048
"Bahamas, The",Latin America & Caribbean,High income,12.69999981
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,26
Belarus,Europe & Central Asia,Upper middle income,0.5
Belize,Latin America & Caribbean,Upper middle income,10.89999962
Bolivia,Latin America & Caribbean,Lower middle income,3.299999952
Brazil,Latin America & Caribbean,Upper middle income,11.5
Barbados,Latin America & Caribbean,High income,11.39999962
Brunei Darussalam,East Asia & Pacific,High income,6.5
Bhutan,South Asia,Lower middle income,2.400000095
Botswana,Sub-Saharan Africa,Upper middle income,17.70000076
Central African Republic,Sub-Saharan Africa,Low income,6.400000095
Canada,North America,High income,7
Central Europe and the Baltics,,,6.510686894
Switzerland,Europe & Central Asia,High income,4.599999905
Channel Islands,Europe & Central Asia,High income,6.800000191
Chile,Latin America & Caribbean,High income,6.699999809
China,East Asia & Pacific,Upper middle income,4.599999905
Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,9.300000191
Cameroon,Sub-Saharan Africa,Lower middle income,4.300000191
"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,3.599999905
"Congo, Rep.",Sub-Saharan Africa,Lower middle income,10.69999981
Colombia,Latin America & Caribbean,Upper middle income,8.600000381
Comoros,Sub-Saharan Africa,Low income,19.89999962
Cabo Verde,Sub-Saharan Africa,Lower middle income,10.60000038
Costa Rica,Latin America & Caribbean,Upper middle income,9
Caribbean small states,,,11.06145994
Cuba,Latin America & Caribbean,Upper middle income,2.5
Cyprus,Europe & Central Asia,High income,13
Czech Republic,Europe & Central Asia,High income,4
Germany,Europe & Central Asia,High income,4.099999905
Djibouti,Middle East & North Africa,Lower middle income,6
Denmark,Europe & Central Asia,High income,6.199999809
Dominican Republic,Latin America & Caribbean,Upper middle income,14.10000038
Algeria,Middle East & North Africa,Upper middle income,11.5
East Asia & Pacific (excluding high income),,,4.353152458
Early-demographic dividend,,,5.600092837
East Asia & Pacific,,,4.275368866
Europe & Central Asia (excluding high income),,,7.709587155
Europe & Central Asia,,,8.133421205
Ecuador,Latin America & Caribbean,Upper middle income,4.699999809
"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,12.10000038
Euro area,,,10.00274926
Eritrea,Sub-Saharan Africa,Low income,6.5
Spain,Europe & Central Asia,High income,19.60000038
Estonia,Europe & Central Asia,High income,6.800000191
Ethiopia,Sub-Saharan Africa,Low income,5.199999809
European Union,,,8.527168775
Fragile and conflict affected situations,,,8.66343307
Finland,Europe & Central Asia,High income,8.800000191
Fiji,East Asia & Pacific,Upper middle income,8.399999619
France,Europe & Central Asia,High income,10.10000038
Gabon,Sub-Saharan Africa,Upper middle income,19
United Kingdom,Europe & Central Asia,High income,4.800000191
Georgia,Europe & Central Asia,Lower middle income,11.69999981
Ghana,Sub-Saharan Africa,Lower middle income,5.5
Guinea,Sub-Saharan Africa,Low income,6.300000191
"Gambia, The",Sub-Saharan Africa,Low income,29.70000076
Guinea-Bissau,Sub-Saharan Africa,Low income,6.099999905
Equatorial Guinea,Sub-Saharan Africa,Upper middle income,6.199999809
Greece,Europe & Central Asia,High income,23.5
Guatemala,Latin America & Caribbean,Lower middle income,2.700000048
Guam,East Asia & Pacific,High income,5.400000095
Guyana,Latin America & Caribbean,Upper middle income,11.60000038
High income,,,6.20629006
"Hong Kong SAR, China",East Asia & Pacific,High income,3.400000095
Honduras,Latin America & Caribbean,Lower middle income,6.300000191
Heavily indebted poor countries (HIPC),,,6.134955044
Croatia,Europe & Central Asia,Upper middle income,13.10000038
Haiti,Latin America & Caribbean,Low income,13.69999981
Hungary,Europe & Central Asia,High income,5.099999905
IBRD only,,,5.600848376
IDA & IBRD total,,,5.651024128
IDA total,,,5.832373469
IDA blend,,,6.279334208
Indonesia,East Asia & Pacific,Lower middle income,5.599999905
IDA only,,,5.635920897
India,South Asia,Lower middle income,3.5
Ireland,Europe & Central Asia,High income,7.900000095
"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,11.39999962
Iraq,Middle East & North Africa,Upper middle income,15.10000038
Iceland,Europe & Central Asia,High income,3
Israel,Middle East & North Africa,High income,4.800000191
Italy,Europe & Central Asia,High income,11.69999981
Jamaica,Latin America & Caribbean,Upper middle income,13.19999981
Jordan,Middle East & North Africa,Lower middle income,15.30000019
Japan,East Asia & Pacific,High income,3.099999905
Kazakhstan,Europe & Central Asia,Upper middle income,5
Kenya,Sub-Saharan Africa,Lower middle income,11.30000019
Kyrgyz Republic,Europe & Central Asia,Lower middle income,7.699999809
Cambodia,East Asia & Pacific,Lower middle income,0.200000003
"Korea, Rep.",East Asia & Pacific,High income,3.700000048
Kuwait,Middle East & North Africa,High income,2.700000048
Latin America & Caribbean (excluding high income),,,8.177221922
Lao PDR,East Asia & Pacific,Lower middle income,1.399999976
Lebanon,Middle East & North Africa,Upper middle income,6.5
Liberia,Sub-Saharan Africa,Low income,3.799999952
Libya,Middle East & North Africa,Upper middle income,18.20000076
St. Lucia,Latin America & Caribbean,Upper middle income,23.10000038
Latin America & Caribbean,,,8.141702694
Least developed countries: UN classification,,,5.402562058
Low income,,,5.528223166
Sri Lanka,South Asia,Lower middle income,4.400000095
Lower middle income,,,5.013602218
Low & middle income,,,5.639057844
Lesotho,Sub-Saharan Africa,Lower middle income,28.29999924
Late-demographic dividend,,,5.388534955
Lithuania,Europe & Central Asia,High income,7.900000095
Luxembourg,Europe & Central Asia,High income,6.300000191
Latvia,Europe & Central Asia,High income,9.600000381
"Macao SAR, China",East Asia & Pacific,High income,1.899999976
Morocco,Middle East & North Africa,Lower middle income,10.80000019
Moldova,Europe & Central Asia,Lower middle income,4.099999905
Madagascar,Sub-Saharan Africa,Low income,2.200000048
Maldives,South Asia,Upper middle income,4.400000095
Middle East & North Africa,,,11.07202339
Mexico,Latin America & Caribbean,Upper middle income,3.900000095
Middle income,,,5.651239476
"Macedonia, FYR",Europe & Central Asia,Upper middle income,23.70000076
Mali,Sub-Saharan Africa,Low income,10.60000038
Malta,Middle East & North Africa,High income,4.699999809
Myanmar,East Asia & Pacific,Lower middle income,0.800000012
